landid,bezeichnung,generierter_link
75,Indien,https://www.auswaertiges-amt.de/de/service/laender/indien-node/205998
76,Indonesien,https://www.auswaertiges-amt.de/de/service/laender/indonesien-node/212396
77,Irak,https://www.auswaertiges-amt.de/de/service/laender/irak-node/202738
78,Iran,https://www.auswaertiges-amt.de/de/service/laender/iran-node/202396
79,Irland,https://www.auswaertiges-amt.de/de/service/laender/irland-node/211460
80,Island,https://www.auswaertiges-amt.de/de/service/laender/island-node/223400
81,Israel,https://www.auswaertiges-amt.de/de/service/laender/israel-node/203814
82,Italien,https://www.auswaertiges-amt.de/de/service/laender/italien-node/211322
83,Jamaika,https://www.auswaertiges-amt.de/de/service/laender/jamaika-node/226490
84,Japan,https://www.auswaertiges-amt.de/de/service/laender/japan-node/213032
85,Jemen,https://www.auswaertiges-amt.de/de/service/laender/jemen-node/202260
86,Jordanien,https://www.auswaertiges-amt.de/de/service/laender/jordanien-node/218008
87,Kambodscha,https://www.auswaertiges-amt.de/de/service/laender/kambodscha-node/220008
88,Kamerun,https://www.auswaertiges-amt.de/de/service/laender/kamerun-node/208874
89,Kanada,https://www.auswaertiges-amt.de/de/service/laender/kanada-node/204874
90,Kasachstan,https://www.auswaertiges-amt.de/de/service/laender/kasachstan-node/206342
91,Katar,https://www.auswaertiges-amt.de/de/service/laender/katar-node/202280
92,Kenia,https://www.auswaertiges-amt.de/de/service/laender/kenia-node/208058
93,Kirgisistan,https://www.auswaertiges-amt.de/de/service/laender/kirgisistan-node/206738
94,Kiribati,https://www.auswaertiges-amt.de/de/service/laender/kiribati-node/220364
95,Kolumbien,https://www.auswaertiges-amt.de/de/service/laender/kolumbien-node/201516
96,Komoren,https://www.auswaertiges-amt.de/de/service/laender/komoren-node/226660
97,Korea,https://www.auswaertiges-amt.de/de/service/laender/korea-node/216104
98,Korea,https://www.auswaertiges-amt.de/de/service/laender/korea-node/216132
99,Kosovo,https://www.auswaertiges-amt.de/de/service/laender/kosovo-node/207442
100,Kroatien,https://www.auswaertiges-amt.de/de/service/laender/kroatien-node/210072
101,Kuba,https://www.auswaertiges-amt.de/de/service/laender/kuba-node/212208
102,Kuwait,https://www.auswaertiges-amt.de/de/service/laender/kuwait-node/204130
103,Laos,https://www.auswaertiges-amt.de/de/service/laender/laos-node/201048
104,Lesotho,https://www.auswaertiges-amt.de/de/service/laender/lesotho-node/226974
105,Lettland,https://www.auswaertiges-amt.de/de/service/laender/lettland-node/200674
106,Libanon,https://www.auswaertiges-amt.de/de/service/laender/libanon-node/204048
107,Liberia,https://www.auswaertiges-amt.de/de/service/laender/liberia-node/222378
108,Libyen,https://www.auswaertiges-amt.de/de/service/laender/libyen-node/219624
109,Liechtenstein,https://www.auswaertiges-amt.de/de/service/laender/liechtenstein-node/222960
110,Litauen,https://www.auswaertiges-amt.de/de/service/laender/litauen-node/200620
111,Luxemburg,https://www.auswaertiges-amt.de/de/service/laender/luxemburg-node/211256
112,Macau,https://www.auswaertiges-amt.de/de/service/laender/macau-node/200872
113,Macau*,https://www.auswaertiges-amt.de/de/service/laender/macau-node/200872
114,Madagaskar,https://www.auswaertiges-amt.de/de/service/laender/madagaskar-node/207960
115,Malawi,https://www.auswaertiges-amt.de/de/service/laender/malawi-node/208508
116,Malaysia,https://www.auswaertiges-amt.de/de/service/laender/malaysia-node/223616
117,Malediven,https://www.auswaertiges-amt.de/de/service/laender/malediven-node/220382
118,Mali,https://www.auswaertiges-amt.de/de/service/laender/mali-node/208258
119,Malta,https://www.auswaertiges-amt.de/de/service/laender/malta-node/211188
120,Marokko,https://www.auswaertiges-amt.de/de/service/laender/marokko-node/224080
121,Marshallinseln,https://www.auswaertiges-amt.de/de/service/laender/marshallinseln-node/220400
122,Mauretanien,https://www.auswaertiges-amt.de/de/service/laender/mauretanien-node/219190
123,Mauritius,https://www.auswaertiges-amt.de/de/service/laender/mauritius-node/206994
124,Mexiko,https://www.auswaertiges-amt.de/de/service/laender/mexiko-node/213648
125,Mikronesien,https://www.auswaertiges-amt.de/de/service/laender/mikronesien-node/220678
126,Moldau,https://www.auswaertiges-amt.de/de/service/laender/moldau-node/201932
127,Monaco,https://www.auswaertiges-amt.de/de/service/laender/monaco-node/226868
128,Mongolei,https://www.auswaertiges-amt.de/de/service/laender/mongolei-node/222842
129,Montenegro,https://www.auswaertiges-amt.de/de/service/laender/montenegro-node/216330
130,Mosambik,https://www.auswaertiges-amt.de/de/service/laender/mosambik-node/221782
131,Myanmar,https://www.auswaertiges-amt.de/de/service/laender/myanmar-node/212100
132,Namibia,https://www.auswaertiges-amt.de/de/service/laender/namibia-node/208314
133,Nauru,https://www.auswaertiges-amt.de/de/service/laender/nauru-node/220416
134,Nepal,https://www.auswaertiges-amt.de/de/service/laender/nepal-node/221216
135,Neuseeland,https://www.auswaertiges-amt.de/de/service/laender/neuseeland-node/220146
136,Nevis; St. Kitts und,https://www.auswaertiges-amt.de/de/service/laender/nevis-st-kitts-und-node/226596
137,Nicaragua,https://www.auswaertiges-amt.de/de/service/laender/nicaragua-node/223316
138,Niederlande,https://www.auswaertiges-amt.de/de/service/laender/niederlande-node/211084
139,Niger,https://www.auswaertiges-amt.de/de/service/laender/niger-node/226384
140,Nigeria,https://www.auswaertiges-amt.de/de/service/laender/nigeria-node/205788
141,Nordkorea,https://www.auswaertiges-amt.de/de/service/laender/nordkorea-node/216104
142,Nordmazedonien,https://www.auswaertiges-amt.de/de/service/laender/nordmazedonien-node/207612
143,Norwegen,https://www.auswaertiges-amt.de/de/service/laender/norwegen-node/205878
144,Oesterreich,https://www.auswaertiges-amt.de/de/service/laender/oesterreich-node/210962
145,Oman,https://www.auswaertiges-amt.de/de/service/laender/oman-node/204160
146,Österreich,https://www.auswaertiges-amt.de/de/service/laender/oesterreich-node/210962
147,Pakistan,https://www.auswaertiges-amt.de/de/service/laender/pakistan-node/204974
148,Palästinensische Gebiete,https://www.auswaertiges-amt.de/de/service/laender/palaestinensische-gebiete-node/203674
149,Palästinensische Gebiete*,https://www.auswaertiges-amt.de/de/service/laender/palaestinensische-gebiete-node/203674
150,Palau,https://www.auswaertiges-amt.de/de/service/laender/palau-node/220958
151,Panama,https://www.auswaertiges-amt.de/de/service/laender/panama-node/206378
152,Papua Neuguinea,https://www.auswaertiges-amt.de/de/service/laender/papua-neuguinea-node/220698
153,Papua-Neuguinea,https://www.auswaertiges-amt.de/de/service/laender/papua-neuguinea-node/220698
154,Paraguay,https://www.auswaertiges-amt.de/de/service/laender/paraguay-node/224964
155,Peru,https://www.auswaertiges-amt.de/de/service/laender/peru-node/211938
156,Philippinen,https://www.auswaertiges-amt.de/de/service/laender/philippinen-node/212492
157,Polen,https://www.auswaertiges-amt.de/de/service/laender/polen-node/199124
158,Portugal,https://www.auswaertiges-amt.de/de/service/laender/portugal-node/210900
159,Principe; São Tomé und,https://www.auswaertiges-amt.de/de/service/laender/principe-sao-tome-und-node/220434
160,Quatar,https://www.auswaertiges-amt.de/de/service/laender/quatar-node/202280
161,Republik Kongo,https://www.auswaertiges-amt.de/de/service/laender/republik-kongo-node/208542
162,Republik Korea,https://www.auswaertiges-amt.de/de/service/laender/republik-korea-node/216132
163,Republik Moldau,https://www.auswaertiges-amt.de/de/service/laender/republik-moldau-node/201932
164,Ruanda,https://www.auswaertiges-amt.de/de/service/laender/ruanda-node/212026
165,Rumänien,https://www.auswaertiges-amt.de/de/service/laender/rumaenien-node/210822
166,Russische Föderation,https://www.auswaertiges-amt.de/de/service/laender/russische-foederation-node/201536
167,Russland,https://www.auswaertiges-amt.de/de/service/laender/russland-node/201536
168,Salomonen,https://www.auswaertiges-amt.de/de/service/laender/salomonen-node/220650
169,Sambia,https://www.auswaertiges-amt.de/de/service/laender/sambia-node/208606
170,Samoa,https://www.auswaertiges-amt.de/de/service/laender/samoa-node/213758
171,San Marino,https://www.auswaertiges-amt.de/de/service/laender/san-marino-node/227014
172,São Tomé und Principe,https://www.auswaertiges-amt.de/de/service/laender/sao-tome-und-principe-node/220434
173,São Tomé und Príncipe,https://www.auswaertiges-amt.de/de/service/laender/sao-tome-und-principe-node/220434
174,Saudi-Arabien,https://www.auswaertiges-amt.de/de/service/laender/saudi-arabien-node/202298
175,Schweden,https://www.auswaertiges-amt.de/de/service/laender/schweden-node/210708
176,Schweiz,https://www.auswaertiges-amt.de/de/service/laender/schweiz-node/206208
177,Senegal,https://www.auswaertiges-amt.de/de/service/laender/senegal-node/208190
178,Seoul,https://www.auswaertiges-amt.de/de/service/laender/seoul-node/216132
179,Serbien,https://www.auswaertiges-amt.de/de/service/laender/serbien-node/207502
180,Seychellen,https://www.auswaertiges-amt.de/de/service/laender/seychellen-node/226912
181,Sierra Leone,https://www.auswaertiges-amt.de/de/service/laender/sierra-leone-node/203500
182,Simbabwe,https://www.auswaertiges-amt.de/de/service/laender/simbabwe-node/208948
183,Singapur,https://www.auswaertiges-amt.de/de/service/laender/singapur-node/225412
184,Slowakei,https://www.auswaertiges-amt.de/de/service/laender/slowakei-node/206360
185,Slowenien,https://www.auswaertiges-amt.de/de/service/laender/slowenien-node/210644
186,Somalia,https://www.auswaertiges-amt.de/de/service/laender/somalia-node/203132
187,Spanien,https://www.auswaertiges-amt.de/de/service/laender/spanien-node/210534
188,Sri Lanka,https://www.auswaertiges-amt.de/de/service/laender/sri-lanka-node/212254
189,St. Kitts und Nevis,https://www.auswaertiges-amt.de/de/service/laender/st-kitts-und-nevis-node/226596
190,St. Lucia,https://www.auswaertiges-amt.de/de/service/laender/st-lucia-node/226750
191,St. Vincent und die Grenadinen,https://www.auswaertiges-amt.de/de/service/laender/st-vincent-und-die-grenadinen-node/226268
192,Südafrika,https://www.auswaertiges-amt.de/de/service/laender/suedafrika-node/208400
193,Sudan,https://www.auswaertiges-amt.de/de/service/laender/sudan-node/203266
194,Südkorea,https://www.auswaertiges-amt.de/de/service/laender/suedkorea-node/216132
195,Südsudan,https://www.auswaertiges-amt.de/de/service/laender/suedsudan-node/244250
196,Suedafrika,https://www.auswaertiges-amt.de/de/service/laender/suedafrika-node/208400
197,Suedsudan,https://www.auswaertiges-amt.de/de/service/laender/suedsudan-node/244250
198,Suriname,https://www.auswaertiges-amt.de/de/service/laender/suriname-node/220450
199,Syrien,https://www.auswaertiges-amt.de/de/service/laender/syrien-node/204278
200,Tadschikistan,https://www.auswaertiges-amt.de/de/service/laender/tadschikistan-node/206756
201,Taiwan,https://www.auswaertiges-amt.de/de/service/laender/taiwan-node/200896
202,Taiwan*,https://www.auswaertiges-amt.de/de/service/laender/taiwan-node/200896
203,Tansania,https://www.auswaertiges-amt.de/de/service/laender/tansania-node/208662
204,Thailand,https://www.auswaertiges-amt.de/de/service/laender/thailand-node/201558
205,Timor-Leste,https://www.auswaertiges-amt.de/de/service/laender/timor-leste-node/221388
206,Tobago; Trinidad und,https://www.auswaertiges-amt.de/de/service/laender/tobago-trinidad-und-node/220466
207,Togo,https://www.auswaertiges-amt.de/de/service/laender/togo-node/213850
208,Tonga,https://www.auswaertiges-amt.de/de/service/laender/tonga-node/213790
209,Trinidad und Tobago,https://www.auswaertiges-amt.de/de/service/laender/trinidad-und-tobago-node/220466
210,Tschad,https://www.auswaertiges-amt.de/de/service/laender/tschad-node/225774
211,Tschechien,https://www.auswaertiges-amt.de/de/service/laender/tschechien-node/210456
212,Tschechische Republik,https://www.auswaertiges-amt.de/de/service/laender/tschechische-republik-node/210456
213,Tunesien,https://www.auswaertiges-amt.de/de/service/laender/tunesien-node/219024
214,Türkei,https://www.auswaertiges-amt.de/de/service/laender/tuerkei-node/201962
215,Turkmenistan,https://www.auswaertiges-amt.de/de/service/laender/turkmenistan-node/206774
216,Tuvalu,https://www.auswaertiges-amt.de/de/service/laender/tuvalu-node/220666
217,Uganda,https://www.auswaertiges-amt.de/de/service/laender/uganda-node/208752
218,Ukraine,https://www.auswaertiges-amt.de/de/service/laender/ukraine-node/201946
219,Ungarn,https://www.auswaertiges-amt.de/de/service/laender/ungarn-node/210332
220,Uruguay,https://www.auswaertiges-amt.de/de/service/laender/uruguay-node/201138
221,USA,https://www.auswaertiges-amt.de/de/service/laender/usa-node/201382
222,Usbekistan,https://www.auswaertiges-amt.de/de/service/laender/usbekistan-node/206790
223,VAE,https://www.auswaertiges-amt.de/de/service/laender/vae-node/202332
224,Vanuatu,https://www.auswaertiges-amt.de/de/service/laender/vanuatu-node/220498
225,Vatikan,https://www.auswaertiges-amt.de/de/service/laender/vatikan-node/226808
226,Venezuela,https://www.auswaertiges-amt.de/de/service/laender/venezuela-node/224982
227,Vereinigte Arabische Emirate,https://www.auswaertiges-amt.de/de/service/laender/vereinigte-arabische-emirate-node/202332
228,Vereinigtes Königreich,https://www.auswaertiges-amt.de/de/service/laender/vereinigtes-koenigreich-node/206408
229,Vereinigte Staaten von Amerika,https://www.auswaertiges-amt.de/de/service/laender/vereinigte-staaten-von-amerika-node/201382
230,Vietnam,https://www.auswaertiges-amt.de/de/service/laender/vietnam-node/217274
231,Zentralafrikanische Republik,https://www.auswaertiges-amt.de/de/service/laender/zentralafrikanische-republik-node/226450
232,Zimbabwe,https://www.auswaertiges-amt.de/de/service/laender/zimbabwe-node/208948
233,Zypern,https://www.auswaertiges-amt.de/de/service/laender/zypern-node/210258
